5-MCDG_1	5-MCDG	thymine DNA glycosylase 
DTX2_1	DTX2	deltex E3 ubiquitin ligase 2 
DTX3L_1	DTX3L	deltex E3 ubiquitin ligase 3L 
DTYMK_1	DTYMK	deoxythymidylate kinase 
DUS1L_1	DUS1L	dihydrouridine synthase 1 like 
DUS4L_1	DUS4L	dihydrouridine synthase 4 like 
DUSP10_1	DUSP10	dual specificity phosphatase 10 
DUSP12_1	DUSP12	dual specificity phosphatase 12 
DUSP14_1	DUSP14	dual specificity phosphatase 14 
DUSP1_1	DUSP1	dual specificity phosphatase 1 
DUSP3_1	DUSP3	dual specificity phosphatase 3 
DUSP4_1	DUSP4	dual specificity phosphatase 4 
DUSP4_2	DUSP4	dual specificity phosphatase 4 
DUSP6_1	DUSP6	dual specificity phosphatase 6 
DUSP7_1	DUSP7	dual specificity phosphatase 7 
DUT_1	DUT	deoxyuridine triphosphatase 
DYDC1_1	DYDC1	DPY30 domain containing 1 
DYM_1	DYM	
DYNC1H1_1	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 
DYNC1I2_1	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 
DYNC1I2_2	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 
DYNC1I2_3	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 
DYNC1LI1_1	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 
DYNC2LI1_1	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 
DYNLL1_1	DYNLL1	dynein light chain LC8-type 1 
DYNLL2_1	DYNLL2	dynein light chain LC8-type 2 
DYNLRB2_1	DYNLRB2	dynein light chain roadblock-type 2 
DYNLT1_1	DYNLT1	dynein light chain Tctex-type 1 
DYNLT3_1	DYNLT3	dynein light chain Tctex-type 3 
E2F1_1	E2F1	E2F transcription factor 1 
E2F4_1	E2F4	E2F transcription factor 4 
E2F5_1	E2F5	E2F transcription factor 5 
E2F6_1	E2F6	E2F transcription factor 6 
EAF2_1	EAF2	ELL-associated factor 2 
EAPP_1	EAPP	E2F associated phosphoprotein 
EARS2_1	EARS2	glutamyl-tRNA synthetase 2, mitochondrial 
EBAG9_1	EBAG9	estrogen receptor binding site associated, antigen, 9 
EBF1_1	EBF1	early B-cell factor 1 
EBF2_1	EBF2	early B-cell factor 2 
EBNA1BP2_1	EBNA1BP2	EBNA1 binding protein 2 
ECD_1	ECD	ecdysoneless cell cycle regulator 
ECE-1_1	ECE-1	endothelin converting enzyme 1 
ECHDC1_1	ECHDC1	ethylmalonyl-CoA decarboxylase 1 
ECHDC2_1	ECHDC2	enoyl-CoA hydratase domain containing 2 
ECHDC3_1	ECHDC3	enoyl-CoA hydratase domain containing 3 
ECHS1_1	ECHS1	enoyl-CoA hydratase, short chain 1 
ECI1_1	ECI1	enoyl-CoA delta isomerase 1 
ECI2_1	ECI2	enoyl-CoA delta isomerase 2 
ECI2_2	ECI2	enoyl-CoA delta isomerase 2 
EDA2R_1	EDA2R	ectodysplasin A2 receptor 
EDARADD_1	EDARADD	EDAR associated death domain 
EDC3_1	EDC3	enhancer of mRNA decapping 3 
EDEM1_1	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 
EDEM2_1	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2 
EDF1_1	EDF1	Endothelial differentiation-related factor 1 homolog 
EDIL3_1	EDIL3	
EDKM-b_1	EDKM-b	
EDMTFH_1	EDMTFH	
EDN2_1	EDN2	endothelin 2 
EDNRA_1	EDNRA	endothelin receptor type A 
EDNRB2_1	EDNRB2	endothelin receptor B subtype 2 precursor 
EDQM3_1	EDQM3	
EED_1	EED	embryonic ectoderm development 
EEF1A1_1	EEF1A1	Elongation factor 1-alpha 1 
EEF1A2_1	EEF1A2	eukaryotic translation elongation factor 1 alpha 2 
EEF1AKMT1_1	EEF1AKMT1	EEF1A lysine methyltransferase 1 
EEF1B2_1	EEF1B2	eukaryotic translation elongation factor 1 beta 2 
EEF2_1	EEF2	eukaryotic translation elongation factor 2 
EFCAB11_1	EFCAB11	EF-hand calcium binding domain 11 
EFCAB1_1	EFCAB1	EF-hand calcium binding domain 1 
EFHB_1	EFHB	EF-hand domain family member B 
EFHC1_1	EFHC1	EF-hand domain containing 1 
EFHD1_1	EFHD1	EF-hand domain family member D1 
EFHD2_1	EFHD2	EF-hand domain family member D2 
EFL1_1	EFL1	elongation factor like GTPase 1 
EFNA5_1	EFNA5	
EFNB1_1	EFNB1	ephrin B1 
EFTUD2_1	EFTUD2	elongation factor Tu GTP binding domain containing 2 
EGFL6_1	EGFL6	EGF like domain multiple 6 
EGFL7_1	EGFL7	EGF like domain multiple 7 
EGFL7_2	EGFL7	EGF like domain multiple 7 
EGFR_1	EGFR	epidermal growth factor receptor 
EGLN1_1	EGLN1	egl-9 family hypoxia inducible factor 1 
EGR1_1	EGR1	early growth response 1 
EGR2_1	EGR2	early growth response 2 
EHD3_1	EHD3	EH domain containing 3 
EHF_1	EHF	ETS homologous factor 
EHHADH_1	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase 
EHMT1_1	EHMT1	euchromatic histone lysine methyltransferase 1 
EI24_1	EI24	EI24, autophagy associated transmembrane protein 
EI24_2	EI24	EI24, autophagy associated transmembrane protein 
EIF1B_1	EIF1B	eukaryotic translation initiation factor 1B 
EIF1_1	EIF1	eukaryotic translation initiation factor 1 
EIF2AK1_1	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1 
EIF2AK2_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 
EIF2A_1	EIF2A	eukaryotic translation initiation factor 2A 
EIF2B1_1	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha 
EIF2B2_1	EIF2B2	eukaryotic translation initiation factor 2B subunit beta 
EIF2B3_1	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma 
EIF2B_1	EIF2B	eukaryotic translation initiation factor 2 subunit beta 
EIF2S1_1	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1 
EIF3D_1	EIF3D	eukaryotic translation initiation factor 3 subunit D 
EIF3E_1	EIF3E	eukaryotic translation initiation factor 3 subunit E 
EIF3H_1	EIF3H	Eukaryotic translation initiation factor 3 subunit H 
EIF3I_1	EIF3I	eukaryotic translation initiation factor 3 subunit I 
EIF3J_1	EIF3J	eukaryotic translation initiation factor 3 subunit J 
EIF3K_1	EIF3K	eukaryotic translation initiation factor 3 subunit K 
EIF3L_1	EIF3L	eukaryotic translation initiation factor 3 subunit L 
EIF4A3_1	EIF4A3	eukaryotic translation initiation factor 4A3 
EIF4E2_1	EIF4E2	eukaryotic translation initiation factor 4E family member 2 
EIF4E3_1	EIF4E3	eukaryotic translation initiation factor 4E family member 3 
EIF4EBP1_1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 
EIF4EBP2_1	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2 
EIF4E_1	EIF4E	eukaryotic translation initiation factor 4E 
EIF4G1_1	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 
EIF4G3_1	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 
EIF4H_1	EIF4H	eukaryotic translation initiation factor 4H 
EIF5A2_1	EIF5A2	eukaryotic translation initiation factor 5A2 
EIF5B_1	EIF5B	eukaryotic translation initiation factor 5B 
EIF5_1	EIF5	eukaryotic translation initiation factor 5 
EIF5_2	EIF5	eukaryotic translation initiation factor 5 
EIPR1_1	EIPR1	EARP complex and GARP complex interacting protein 1 
ELAVL1_1	ELAVL1	ELAV like RNA binding protein 1 
ELAVL4_1	ELAVL4	ELAV like RNA binding protein 4 
ELF1_1	ELF1	E74 like ETS transcription factor 1 
ELF2_1	ELF2	E74 like ETS transcription factor 2 
ELF2_2	ELF2	E74 like ETS transcription factor 2 
ELF3_1	ELF3	E74 like ETS transcription factor 3 
ELK3_1	ELK3	ELK3, ETS transcription factor 
ELMO1_1	ELMO1	engulfment and cell motility 1 
ELMO3_1	ELMO3	engulfment and cell motility 3 
ELMOD1_1	ELMOD1	ELMO domain containing 1 
ELMOD2_1	ELMOD2	ELMO domain containing 2 
ELOVL1_1	ELOVL1	elongation of very long chain fatty acids protein 1 
ELOVL2_1	ELOVL2	ELOVL fatty acid elongase 2 
ELOVL4_1	ELOVL4	ELOVL fatty acid elongase 4 
ELOVL5_1	ELOVL5	ELOVL fatty acid elongase 5 
ELOVL6_1	ELOVL6	Elongation of very long chain fatty acids protein 6 
ELOVL6_2	ELOVL6	Elongation of very long chain fatty acids protein 6 
ELP3_1	ELP3	elongator acetyltransferase complex subunit 3 
ELP4_1	ELP4	elongator acetyltransferase complex subunit 4 
ELP6_1	ELP6	elongator acetyltransferase complex subunit 6 
EMB_1	EMB	
EMC2_1	EMC2	ER membrane protein complex subunit 2 
EMC3_1	EMC3	ER membrane protein complex subunit 3 
EMC6_1	EMC6	ER membrane protein complex subunit 6 
EMC7_1	EMC7	ER membrane protein complex subunit 7 
EME1_1	EME1	essential meiotic structure-specific endonuclease 1 
EMILIN2_1	EMILIN2	elastin microfibril interfacer 2 
EMP1_1	EMP1	epithelial membrane protein 1 
EMP2_1	EMP2	epithelial membrane protein 2 
EMP2_2	EMP2	epithelial membrane protein 2 
EMSY_1	EMSY	EMSY, BRCA2 interacting transcriptional repressor 
ENKUR_1	ENKUR	enkurin, TRPC channel interacting protein 
ENO2_1	ENO2	enolase 2 
ENOPH1_1	ENOPH1	enolase-phosphatase 1 
ENOX2_1	ENOX2	ecto-NOX disulfide-thiol exchanger 2 
ENPP4_1	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 
ENPP4_2	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 
ENPP6_1	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6 
ENSA_1	ENSA	Alpha-endosulfine 
ENTPD3_1	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 
ENTPD5_1	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 
ENTPD5_2	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 
ENTPD6_1	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 
ENY2_1	ENY2	ENY2, transcription and export complex 2 subunit 
EOMES_1	EOMES	eomesodermin 
EPB41L2_1	EPB41L2	erythrocyte membrane protein band 4.1 like 2 
EPB41L4A_1	EPB41L4A	
EPB41L5_1	EPB41L5	erythrocyte membrane protein band 4.1 like 5 
EPB41_1	EPB41	erythrocyte membrane protein band 4.1 
EPB41_2	EPB41	erythrocyte membrane protein band 4.1 
EPB42_1	EPB42	erythrocyte membrane protein band 4.2 
EPCAM_1	EPCAM	epithelial cell adhesion molecule 
EPDR1_1	EPDR1	ependymin related 1 
EPDR1_2	EPDR1	ependymin related 1 
EPHA1_1	EPHA1	EPH receptor A1 
EPHA3_1	EPHA3	EPH receptor A3 
EPHA4_1	EPHA4	Ephrin type-A receptor 4 
EPHA5_1	EPHA5	EPH receptor A5 
EPHA7_1	EPHA7	EPH receptor A7 
EPHB1_1	EPHB1	EPH receptor B1 
EPHB2_1	EPHB2	EPH receptor B2 
EPHX2_1	EPHX2	epoxide hydrolase 2 
EPHX4_1	EPHX4	epoxide hydrolase 4 
EPM2A_1	EPM2A	EPM2A, laforin glucan phosphatase 
EPN2_1	EPN2	epsin 2 
EPN2_2	EPN2	epsin 2 
EPRS_1	EPRS	glutamyl-prolyl-tRNA synthetase 
EPS15_1	EPS15	epidermal growth factor receptor pathway substrate 15 
ER81_1	ER81	ETS variant 1 
ERAL1_1	ERAL1	Era like 12S mitochondrial rRNA chaperone 1 
ERAP1_1	ERAP1	
ERAP1_2	ERAP1	
ERBB2_1	ERBB2	erb-b2 receptor tyrosine kinase 2 
ERBB3_1	ERBB3	erb-b2 receptor tyrosine kinase 3 
ERBB4_1	ERBB4	erb-b2 receptor tyrosine kinase 4 
ERCC3_1	ERCC3	TFIIH basal transcription factor complex helicase XPB subunit 
ERCC4_1	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit 
EREG_1	EREG	epiregulin 
ERGIC1_1	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1 
ERGIC1_2	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1 
ERGIC2_1	ERGIC2	ERGIC and golgi 2 
ERGIC2_2	ERGIC2	ERGIC and golgi 2 
ERGIC3_1	ERGIC3	ERGIC and golgi 3 
ERH_1	ERH	ERH, mRNA splicing and mitosis factor 
ERI1_1	ERI1	exoribonuclease 1 
ERICH1_1	ERICH1	glutamate-rich protein 1 
ERLIN1_1	ERLIN1	ER lipid raft associated 1 
ERLIN2_1	ERLIN2	ER lipid raft associated 2 
ERN1_1	ERN1	endoplasmic reticulum to nucleus signaling 1 
ERN2_1	ERN2	endoplasmic reticulum to nucleus signaling 2 
ERO1A_1	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha 
ERP29_1	ERP29	endoplasmic reticulum protein 29 
ERP44_1	ERP44	endoplasmic reticulum protein 44 
ESCO2_1	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 
ESD_1	ESD	esterase D 
ESD_2	ESD	esterase D 
ESF1_1	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog 
ESRP1_1	ESRP1	epithelial splicing regulatory protein 1 
ESRP2_1	ESRP2	epithelial splicing regulatory protein 2 
ESRRG_1	ESRRG	estrogen related receptor gamma 
ESRRG_2	ESRRG	estrogen related receptor gamma 
ESS2_1	ESS2	ess-2 splicing factor homolog 
ESYT2_1	ESYT2	extended synaptotagmin 2 
ESYT2_2	ESYT2	extended synaptotagmin 2 
ETF1_1	ETF1	eukaryotic translation termination factor 1 
ETFDH_1	ETFDH	electron transfer flavoprotein dehydrogenase 
ETFDH_2	ETFDH	electron transfer flavoprotein dehydrogenase 
ETFRF1_1	ETFRF1	electron transfer flavoprotein regulatory factor 1 
ETNK1_1	ETNK1	ethanolamine kinase 1 
ETS1_1	ETS1	ETS proto-oncogene 1, transcription factor 
ETS1_2	ETS1	ETS proto-oncogene 1, transcription factor 
ETS2_1	ETS2	ETS proto-oncogene 2, transcription factor 
EVC2_1	EVC2	EvC ciliary complex subunit 2 
EVC_1	EVC	EvC ciliary complex subunit 1 
EVL_1	EVL	Enah/Vasp-like 
EWSR1_1	EWSR1	EWS RNA binding protein 1 
EXD2_1	EXD2	exonuclease 3'-5' domain containing 2 
EXOC2_1	EXOC2	exocyst complex component 2 
EXOC3_1	EXOC3	exocyst complex component 3 
EXOC4_1	EXOC4	exocyst complex component 4 
EXOC6_1	EXOC6	exocyst complex component 6 
EXOC7_1	EXOC7	exocyst complex component 7 
EXOC8_1	EXOC8	exocyst complex component 8 
EXOG_1	EXOG	exo/endonuclease G 
EXOSC10_1	EXOSC10	exosome component 10 
EXOSC1_1	EXOSC1	exosome component 1 
EXOSC2_1	EXOSC2	exosome component 2 
EXOSC3_1	EXOSC3	exosome component 3 
EXOSC7_1	EXOSC7	exosome component 7 
EXOSC9_1	EXOSC9	exosome complex exonuclease RRP45 
EXT2_1	EXT2	exostosin glycosyltransferase 2 
EYA2_1	EYA2	Gallus gallus eyes absent homolog 2 , mRNA. 
EYA3_1	EYA3	EYA transcriptional coactivator and phosphatase 3 
Enpp2_1	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2 
F10_1	F10	coagulation factor X 
F2RL1_1	F2RL1	
F2RL2_1	F2RL2	
F2_1	F2	coagulation factor II, thrombin 
F7_1	F7	coagulation factor VII 
F8_1	F8	coagulation factor VIII 
FAAH_1	FAAH	fatty acid amide hydrolase 
FAAP24_1	FAAP24	Fanconi anemia core complex associated protein 24 
FABP1_1	FABP1	fatty acid binding protein 1 
FABP3_1	FABP3	fatty acid binding protein 3 
FABP4_1	FABP4	fatty acid binding protein 4 
FABP5_1	FABP5	fatty acid binding protein 5 
FABP6_1	FABP6	fatty acid binding protein 6 
FABP6_2	FABP6	fatty acid binding protein 6 
FABP7_1	FABP7	Fatty acid-binding protein, brain 
FADD_1	FADD	Fas associated via death domain 
FAF2_1	FAF2	Fas associated factor family member 2 
FAHD1_1	FAHD1	fumarylacetoacetate hydrolase domain containing 1 
FAH_1	FAH	fumarylacetoacetate hydrolase 
FAIM_1	FAIM	Fas apoptotic inhibitory molecule 
FAM102A_1	FAM102A	family with sequence similarity 102 member A 
FAM103A1_1	FAM103A1	family with sequence similarity 103 member A1 
FAM107A_1	FAM107A	family with sequence similarity 107 member A 
FAM107B_1	FAM107B	family with sequence similarity 107 member B 
FAM114A1_1	FAM114A1	family with sequence similarity 114 member A1 
FAM114A2_1	FAM114A2	family with sequence similarity 114 member A2 
FAM117A_1	FAM117A	family with sequence similarity 117 member A 
FAM117B_1	FAM117B	family with sequence similarity 117 member B 
FAM118B_1	FAM118B	family with sequence similarity 118 member B 
FAM126A_1	FAM126A	family with sequence similarity 126 member A 
FAM129A_1	FAM129A	protein Niban 
FAM13B_1	FAM13B	Gallus gallus family with sequence similarity 13, member B , mRNA. 
FAM155B_1	FAM155B	family with sequence similarity 155 member B 
FAM160A1_1	FAM160A1	family with sequence similarity 160 member A1 
FAM160A2_1	FAM160A2	family with sequence similarity 160 member A2 
FAM162A_1	FAM162A	family with sequence similarity 162 member A 
FAM168A_1	FAM168A	family with sequence similarity 168 member A 
FAM168A_2	FAM168A	family with sequence similarity 168 member A 
FAM169B_1	FAM169B	family with sequence similarity 169 member B 
FAM169B_2	FAM169B	family with sequence similarity 169 member B 
FAM172A_1	FAM172A	
FAM173A_1	FAM173A	family with sequence similarity 173 member A 
FAM173B_1	FAM173B	family with sequence similarity 173 member B 
FAM175B_1	FAM175B	BRISC complex subunit Abro1 
FAM177A1_1	FAM177A1	family with sequence similarity 177 member A1 
FAM180A_1	FAM180A	family with sequence similarity 180 member A 
FAM180B_1	FAM180B	family with sequence similarity 180 member B 
FAM183A_1	FAM183A	family with sequence similarity 183 member A 
FAM184A_1	FAM184A	family with sequence similarity 184 member A 
FAM192A_1	FAM192A	family with sequence similarity 192 member A 
FAM195B_1	FAM195B	Protein FAM195B 
FAM198B_1	FAM198B	family with sequence similarity 198 member B 
FAM199X_1	FAM199X	family with sequence similarity 199, X-linked 
FAM204A_1	FAM204A	family with sequence similarity 204 member A 
FAM206A_1	FAM206A	family with sequence similarity 206 member A 
FAM20B_1	FAM20B	FAM20B, glycosaminoglycan xylosylkinase 
FAM210A_1	FAM210A	family with sequence similarity 210 member A 
FAM210B_1	FAM210B	family with sequence similarity 210 member B 
FAM213A_1	FAM213A	family with sequence similarity 213 member A 
FAM213A_2	FAM213A	family with sequence similarity 213 member A 
FAM213A_3	FAM213A	family with sequence similarity 213 member A 
FAM217B_1	FAM217B	family with sequence similarity 217 member B 
FAM222B_1	FAM222B	family with sequence similarity 222 member B 
FAM222B_2	FAM222B	family with sequence similarity 222 member B 
FAM234B_1	FAM234B	family with sequence similarity 234 member B 
FAM237A_1	FAM237A	family with sequence similarity 237 member A 
FAM32A_1	FAM32A	family with sequence similarity 32 member A 
FAM3C_1	FAM3C	family with sequence similarity 3 member C 
FAM45A_1	FAM45A	family with sequence similarity 45 member A 
FAM46A_1	FAM46A	family with sequence similarity 46 member A 
FAM46C_1	FAM46C	family with sequence similarity 46 member C 
FAM49A_1	FAM49A	family with sequence similarity 49 member A 
FAM49A_2	FAM49A	family with sequence similarity 49 member A 
FAM53A_1	FAM53A	family with sequence similarity 53 member A 
FAM69B_1	FAM69B	family with sequence similarity 69 member B 
FAM69C_1	FAM69C	family with sequence similarity 69 member C 
FAM76A_1	FAM76A	Protein FAM76A 
FAM76B_1	FAM76B	family with sequence similarity 76 member B 
FAM84A_1	FAM84A	family with sequence similarity 84 member A 
FAM96B_1	FAM96B	family with sequence similarity 96 member B 
FAM96B_2	FAM96B	family with sequence similarity 96 member B 
FAM98A_1	FAM98A	family with sequence similarity 98 member A 
FANCA_1	FANCA	Fanconi anemia, complementation group A 
FANCC_1	FANCC	
FANCL_1	FANCL	Fanconi anemia complementation group L 
FAR1_1	FAR1	Fatty acyl-CoA reductase 1 
FARS2_1	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial 
FARS2_2	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial 
FARSA_1	FARSA	phenylalanyl-tRNA synthetase alpha subunit 
FARSB_1	FARSB	phenylalanyl-tRNA synthetase beta subunit 
FASN_1	FASN	fatty acid synthase 
FASN_2	FASN	fatty acid synthase 
FASTKD2_1	FASTKD2	FAST kinase domains 2 
FASTKD3_1	FASTKD3	FAST kinase domains 3 
FAS_1	FAS	Fas cell surface death receptor 
FAXDC2_1	FAXDC2	fatty acid hydroxylase domain containing 2 
FBF1_1	FBF1	Fas binding factor 1 
FBLN1_1	FBLN1	fibulin 1 
FBLN5_1	FBLN5	fibulin 5 
FBP1_1	FBP1	
FBP2_1	FBP2	
FBXL16_1	FBXL16	F-box and leucine rich repeat protein 16 
FBXL18_1	FBXL18	F-box and leucine rich repeat protein 18 
FBXL4_1	FBXL4	F-box and leucine rich repeat protein 4 
FBXO21_1	FBXO21	F-box protein 21 
FBXO22_1	FBXO22	F-box protein 22 
FBXO25_1	FBXO25	F-box protein 25 
FBXO28_1	FBXO28	F-box protein 28 
FBXO32_1	FBXO32	F-box protein 32 
FBXO34_1	FBXO34	F-box protein 34 
FBXO48_1	FBXO48	F-box protein 48 
FBXO4_1	FBXO4	
FBXO5_1	FBXO5	F-box protein 5 
FBXO7_1	FBXO7	F-box protein 7 
FBXO8_1	FBXO8	F-box protein 8 
FBXO9_1	FBXO9	F-box protein 9 
FBXW11_1	FBXW11	F-box and WD repeat domain containing 11 
FBXW2_1	FBXW2	F-box and WD repeat domain containing 2 
FBXW2_2	FBXW2	F-box and WD repeat domain containing 2 
FBXW5_1	FBXW5	F-box and WD repeat domain containing 5 
FCF1_1	FCF1	FCF1, rRNA-processing protein 
FDFT1_1	FDFT1	farnesyl-diphosphate farnesyltransferase 1 
FDPS_1	FDPS	farnesyl diphosphate synthase 
FDX1_1	FDX1	ferredoxin 1 
FDXACB1_1	FDXACB1	ferredoxin-fold anticodon binding domain containing 1 
FDXR_1	FDXR	ferredoxin reductase 
FECH_1	FECH	
FECH_2	FECH	
FEM1B_1	FEM1B	fem-1 homolog B 
FEN1_1	FEN1	Flap endonuclease 1 
FERMT1_1	FERMT1	fermitin family member 1 
FETUB_1	FETUB	fetuin B 
FEZ1_1	FEZ1	fasciculation and elongation protein zeta 1 
FGA_1	FGA	fibrinogen alpha chain isoform 1 precursor 
FGB_1	FGB	fibrinogen beta chain 
FGF10_1	FGF10	
FGF12_1	FGF12	fibroblast growth factor 12 
FGF13_1	FGF13	fibroblast growth factor 13 
FGF19_1	FGF19	fibroblast growth factor 19 
FGF1_1	FGF1	Fibroblast growth factor 1 Endothelial cell growth factor alpha 
FGF8_1	FGF8	fibroblast growth factor 8 
FGFBP2_1	FGFBP2	fibroblast growth factor binding protein 2 
FGFR1OP2_1	FGFR1OP2	FGFR1 oncogene partner 2 homolog 
FGFR1OP_1	FGFR1OP	FGFR1 oncogene partner 
FGFR4_1	FGFR4	fibroblast growth factor receptor 4 
FGFRL1_1	FGFRL1	fibroblast growth factor receptor-like 1 precursor 
FGGY_1	FGGY	FGGY carbohydrate kinase domain containing 
FGG_1	FGG	fibrinogen gamma chain 
FGL1_1	FGL1	fibrinogen like 1 
FGL2_1	FGL2	fibrinogen like 2 
FHDC1_1	FHDC1	FH2 domain containing 1 
FHL1_1	FHL1	four and a half LIM domains 1 
FHL2_1	FHL2	four and a half LIM domains 2 
FHL3_1	FHL3	four and a half LIM domains 3 
FHL3_2	FHL3	four and a half LIM domains 3 
FHL5_1	FHL5	four and a half LIM domains 5 
FHOD1_1	FHOD1	formin homology 2 domain containing 1 
FHOD3_1	FHOD3	formin homology 2 domain containing 3 
FIBIN_1	FIBIN	fin bud initiation factor homolog 
FICD_1	FICD	FIC domain containing 
FKBP12_1	FKBP12	
FKBP12_2	FKBP12	
FKBP12_3	FKBP12	
FKBP3_1	FKBP3	FK506 binding protein 3 
FKBP4_1	FKBP4	FK506 binding protein 4 
FKBP5_1	FKBP5	peptidyl-prolyl cis-trans isomerase FKBP5 
FKBP6_1	FKBP6	FK506 binding protein 6 
FKBP7_1	FKBP7	FK506 binding protein 7 
FKBP8_1	FKBP8	FK506 binding protein 8 
FKBP9_1	FKBP9	FK506 binding protein 9 
FLAD1_1	FLAD1	flavin adenine dinucleotide synthetase 1 
FLI1_1	FLI1	Fli-1 proto-oncogene, ETS transcription factor 
FLII_1	FLII	FLII, actin remodeling protein 
FLNB_1	FLNB	filamin B 
FLOT2_1	FLOT2	flotillin 2 
FLT1_1	FLT1	fms related tyrosine kinase 1 
FLT1_2	FLT1	fms related tyrosine kinase 1 
FLT4_1	FLT4	fms related tyrosine kinase 4 
FMC1_1	FMC1	formation of mitochondrial complex V assembly factor 1 homolog 
FMO3_1	FMO3	flavin containing monooxygenase 3 
FMOD_1	FMOD	fibromodulin 
FN1_1	FN1	fibronectin 1 
FN3KRP_1	FN3KRP	fructosamine 3 kinase related protein 
FN3K_1	FN3K	fructosamine 3 kinase 
FNDC3A_1	FNDC3A	fibronectin type III domain containing 3A 
FNDC3A_2	FNDC3A	fibronectin type III domain containing 3A 
FNDC5_1	FNDC5	fibronectin type III domain containing 5 
FNTA_1	FNTA	
FOLH1_1	FOLH1	folate hydrolase 1 
FOPNL_1	FOPNL	FGFR1OP N-terminal like 
FOS_1	FOS	Proto-oncogene c-Fos 
FOXA2_1	FOXA2	forkhead box A2 
FOXA2_2	FOXA2	forkhead box A2 
FOXG1_1	FOXG1	Forkhead box protein G1 
FOXJ1_1	FOXJ1	forkhead box J1 
